year,planning_area_hse,hdb_1_and_2_room_flats_hse,hdb_3_room_flats_hse,hdb_4_room_flats_hse,hdb_5_room_and_executive_flats_hse,condominiums_and_other_apartments_hse,landed_properties_hse,others_hse,total_hdb_hse,hdb_1_and_2_room_flats_pop,hdb_3_room_flats_pop,hdb_4_room_flats_pop,hdb_5_room_and_executive_flats_pop,condominiums_and_other_apartments_pop,landed_properties_pop,others_pop,total_hdb_pop,total_pop
2018,Bukit Batok,2281.0,10830.2,17055.0,9265.4,9162.8,1479.6,143.6,39432.2,4146.0,28192.0,53726.0,32082.0,25728.0,5704.0,954.0,118146.0,150526.0
2019,Bukit Batok,2808.0,11173.6,17740.0,9687.2,9250.4,1472.8,124.8,41409.6,5098.0,28246.0,54908.0,33196.0,26114.0,5732.0,992.0,121448.0,154278.0
2020,Bukit Batok,3335.0,11517.0,18425.0,10109.0,9338.0,1466.0,106.0,43387.0,6050.0,28300.0,56090.0,34310.0,26500.0,5760.0,1030.0,124750.0,158030.0
2010,Queenstown,3821.0,15117.0,6515.0,3799.0,3974.0,1005.0,133.0,29252.0,8300.0,40700.0,20660.0,13350.0,10330.0,3700.0,1470.0,83000.0,98500.0
2011,Queenstown,3776.8,14973.6,6792.0,3839.2,4079.2,1024.0,126.4,29381.6,8454.0,39398.0,21386.0,13544.0,10492.0,3708.0,1436.0,82774.0,98410.0
2012,Queenstown,3732.6,14830.2,7069.0,3879.4,4184.4,1043.0,119.8,29511.2,8608.0,38096.0,22112.0,13738.0,10654.0,3716.0,1402.0,82548.0,98320.0
2013,Queenstown,3688.4,14686.8,7346.0,3919.6,4289.6,1062.0,113.2,29640.8,8762.0,36794.0,22838.0,13932.0,10816.0,3724.0,1368.0,82322.0,98230.0
2014,Queenstown,3644.2,14543.4,7623.0,3959.8,4394.8,1081.0,106.6,29770.4,8916.0,35492.0,23564.0,14126.0,10978.0,3732.0,1334.0,82096.0,98140.0
2015,Queenstown,3600.0,14400.0,7900.0,4000.0,4500.0,1100.0,100.0,29900.0,9070.0,34190.0,24290.0,14320.0,11140.0,3740.0,1300.0,81870.0,98050.0
2016,Queenstown,3642.8,14252.2,8204.8,4072.0,4535.2,1086.4,97.2,30171.8,8790.0,33300.0,24946.0,14268.0,11294.0,3700.0,1332.0,81304.0,97626.0
2017,Queenstown,3685.6,14104.4,8509.6,4144.0,4570.4,1072.8,94.4,30443.6,8510.0,32410.0,25602.0,14216.0,11448.0,3660.0,1364.0,80738.0,97202.0
2018,Queenstown,3728.4,13956.6,8814.4,4216.0,4605.6,1059.2,91.6,30715.4,8230.0,31520.0,26258.0,14164.0,11602.0,3620.0,1396.0,80172.0,96778.0
2019,Queenstown,3771.2,13808.8,9119.2,4288.0,4640.8,1045.6,88.8,30987.2,7950.0,30630.0,26914.0,14112.0,11756.0,3580.0,1428.0,79606.0,96354.0
2020,Queenstown,3814.0,13661.0,9424.0,4360.0,4676.0,1032.0,86.0,31259.0,7670.0,29740.0,27570.0,14060.0,11910.0,3540.0,1460.0,79040.0,95930.0
2010,Jurong West,1289.0,11784.0,30448.0,29644.0,3820.0,1022.0,75.0,73167.0,3480.0,33780.0,108070.0,105910.0,11600.0,4100.0,580.0,251250.0,267520.0
2011,Jurong West,1611.2,11927.2,30578.4,29555.2,4036.0,1017.6,60.0,73673.6,4206.0,34174.0,107750.0,105992.0,11734.0,4160.0,534.0,252130.0,268548.0
2012,Jurong West,1933.4,12070.4,30708.8,29466.4,4252.0,1013.2,45.0,74180.2,4932.0,34568.0,107430.0,106074.0,11868.0,4220.0,488.0,253010.0,269576.0
2013,Jurong West,2255.6,12213.6,30839.2,29377.6,4468.0,1008.8,30.0,74686.8,5658.0,34962.0,107110.0,106156.0,12002.0,4280.0,442.0,253890.0,270604.0
2014,Jurong West,2577.8,12356.8,30969.6,29288.8,4684.0,1004.4,15.0,75193.4,6384.0,35356.0,106790.0,106238.0,12136.0,4340.0,396.0,254770.0,271632.0
2015,Jurong West,2900.0,12500.0,31100.0,29200.0,4900.0,1000.0,0.0,75700.0,7110.0,35750.0,106470.0,106320.0,12270.0,4400.0,350.0,255650.0,272660.0
2016,Jurong West,3060.0,12563.0,31160.8,29209.4,5046.4,1003.8,12.2,75993.2,7332.0,35106.0,105102.0,105040.0,13294.0,4374.0,436.0,252580.0,270674.0
2017,Jurong West,3220.0,12626.0,31221.6,29218.8,5192.8,1007.6,24.4,76286.4,7554.0,34462.0,103734.0,103760.0,14318.0,4348.0,522.0,249510.0,268688.0
2018,Jurong West,3380.0,12689.0,31282.4,29228.2,5339.2,1011.4,36.599999999999994,76579.6,7776.0,33818.0,102366.0,102480.0,15342.0,4322.0,608.0,246440.0,266702.0
2019,Jurong West,3540.0,12752.0,31343.2,29237.6,5485.6,1015.2,48.8,76872.8,7998.0,33174.0,100998.0,101200.0,16366.0,4296.0,694.0,243370.0,264716.0
2020,Jurong West,3700.0,12815.0,31404.0,29247.0,5632.0,1019.0,61.0,77166.0,8220.0,32530.0,99630.0,99920.0,17390.0,4270.0,780.0,240300.0,262730.0
2010,Clementi,952.0,12609.0,8070.0,3272.0,4047.0,1673.0,169.0,24903.0,2060.0,33230.0,26400.0,11410.0,11250.0,5930.0,1600.0,73090.0,91870.0
2011,Clementi,1001.6,12187.2,8156.0,3217.6,4257.6,1658.4,175.2,24562.4,2196.0,32378.0,26426.0,11564.0,11806.0,5904.0,1558.0,72556.0,91822.0
2012,Clementi,1051.2,11765.4,8242.0,3163.2,4468.2,1643.8,181.4,24221.8,2332.0,31526.0,26452.0,11718.0,12362.0,5878.0,1516.0,72022.0,91774.0
2013,Clementi,1100.8,11343.6,8328.0,3108.8,4678.8,1629.2,187.6,23881.2,2468.0,30674.0,26478.0,11872.0,12918.0,5852.0,1474.0,71488.0,91726.0
2014,Clementi,1150.4,10921.8,8414.0,3054.4,4889.4,1614.6,193.8,23540.6,2604.0,29822.0,26504.0,12026.0,13474.0,5826.0,1432.0,70954.0,91678.0
2015,Clementi,1200.0,10500.0,8500.0,3000.0,5100.0,1600.0,200.0,23200.0,2740.0,28970.0,26530.0,12180.0,14030.0,5800.0,1390.0,70420.0,91630.0
2016,Clementi,1183.4,10692.2,8659.6,3188.6,5277.6,1602.8,197.2,23724.0,2690.0,28352.0,26510.0,12266.0,14752.0,5786.0,1354.0,69818.0,91702.0
