year,week,region,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp
2013.0,41,West,155.8,,,,72.4,32.9,1,28.310714285714287,9.460714285714285,22.7
2013.0,42,Central,312.8,,,,52.9,34.1,1,28.142857142857142,6.595238095238095,22.6
2013.0,42,East,729.5,,,,52.2,34.1,1,28.066666666666666,8.27142857142857,20.9
2013.0,42,North,451.7,,,,61.2,34.0,1,27.8,6.532467532467533,22.1
2013.0,42,West,185.4,,,,55.1,35.0,1,28.271428571428572,10.625,23.0
2013.0,43,Central,117.8,,,,42.1,33.7,1,27.890476190476193,5.942857142857143,22.8
2013.0,43,East,94.6,,,,46.4,34.0,1,27.604761904761908,7.675,22.4
2013.0,43,North,382.2,,,,55.4,33.8,1,27.18285714285714,6.168571428571429,22.0
2013.0,43,West,193.0,,,,51.5,33.7,1,28.07857142857143,9.15,23.1
2013.0,44,Central,189.2,,,,56.5,34.0,1,27.219047619047622,4.414285714285715,22.0
2013.0,44,East,322.2,,,,36.7,33.1,1,27.31904761904762,6.021428571428571,22.6
2013.0,44,North,989.6,,,,56.2,34.2,1,26.675714285714285,5.140000000000001,22.0
2013.0,44,West,171.4,,,,55.4,33.4,1,27.75357142857143,7.132142857142857,23.9
2013.0,45,Central,157.4,,,,45.0,34.3,1,27.56190476190476,5.280952380952381,21.9
2013.0,45,East,328.9,,,,44.3,33.8,1,27.390476190476193,6.735714285714286,23.2
2013.0,45,North,1314.7,,,,50.0,34.1,1,27.152857142857144,5.8185714285714285,22.1
2013.0,45,West,275.2,,,,69.1,32.7,1,27.885714285714283,8.871428571428572,22.5
2013.0,46,Central,325.8,,,,82.4,34.0,1,26.928571428571427,4.785714285714286,23.0
2013.0,46,East,312.1,,,,48.2,34.0,1,26.985714285714288,6.517857142857143,23.0
2013.0,46,North,758.3,,,,77.8,34.8,1,26.55735294117647,5.4797101449275365,21.9
2013.0,46,West,413.8,,,,85.3,32.3,1,27.24285714285714,8.025,22.9
2013.0,47,Central,175.8,,,,50.0,33.5,1,27.638095238095236,5.890476190476191,22.2
2013.0,47,East,226.2,,,,50.0,34.0,1,27.80952380952381,7.3,22.9
2013.0,47,North,552.8,,,,46.4,34.3,1,27.34285714285714,6.218571428571429,21.1
2013.0,47,West,288.2,,,,66.6,31.9,1,27.787499999999998,9.525,22.3
2013.0,48,Central,364.2,,,,51.5,33.7,1,27.142857142857142,5.20952380952381,22.5
2013.0,48,East,313.5,,,,42.5,33.9,1,27.104761904761908,6.882142857142857,23.4
2013.0,48,North,1026.3,,,,56.2,34.9,1,26.935714285714287,5.467142857142857,22.3
2013.0,48,West,275.2,,,,42.1,33.1,1,27.490476190476187,7.295238095238095,23.4
2013.0,49,Central,225.8,,,,73.4,32.6,1,25.947619047619046,6.171428571428571,23.2
2013.0,49,East,561.1,,,,58.7,32.5,1,25.885714285714286,6.8999999999999995,22.7
2013.0,49,North,1136.8,,,,42.5,33.0,1,25.56714285714286,6.128571428571429,21.9
2013.0,49,West,326.0,,,,55.4,31.2,1,26.104761904761908,8.423809523809524,23.6
2013.0,50,Central,104.19999999999999,,,,38.2,33.7,1,27.423809523809524,5.6000000000000005,23.8
2013.0,50,East,284.5,,,,40.7,33.3,1,27.214285714285715,8.10357142857143,21.6
2013.0,50,North,448.8,,,,51.8,34.3,1,27.095714285714287,6.115714285714286,22.1
2013.0,50,West,75.2,,,,42.8,32.8,1,27.64761904761905,7.190476190476191,24.0
2013.0,51,Central,152.0,,,,65.2,34.7,1,26.995238095238093,6.719047619047619,20.9
2013.0,51,East,338.7,,,,48.2,35.0,1,26.833333333333332,9.403571428571428,21.2
2013.0,51,North,845.9,,,,58.7,34.5,1,26.72714285714286,7.539999999999999,21.2
2013.0,51,West,132.0,,,,58.3,32.9,1,27.30952380952381,9.00952380952381,21.9
2013.0,52,Central,34.4,,,,40.7,31.5,1,26.727777777777778,8.86111111111111,23.7
2013.0,52,East,61.6,,,,46.4,31.1,1,26.799999999999997,13.217857142857143,23.7
2013.0,52,North,179.8,,,,46.4,31.8,1,26.455714285714286,9.734285714285713,23.2
2013.0,52,West,62.8,,,,50.8,32.5,1,27.04285714285714,9.80952380952381,23.8
2014.0,1,Central,118.6,17.0,23.6,23.8,42.5,31.9,1,26.358333333333334,7.666666666666667,23.4
2014.0,1,East,66.7,8.6,10.8,15.4,44.3,32.3,1,26.47083333333333,10.871875,23.3
2014.0,1,North,181.5,17.2,17.6,21.8,50.0,32.4,1,26.09493670886076,8.74625,22.6
2014.0,1,West,120.6,30.6,42.2,52.0,72.4,32.0,1,26.455555555555552,10.783333333333333,23.3
2014.0,2,Central,125.8,23.0,24.0,24.8,45.0,34.0,1,26.67142857142857,6.419047619047619,23.6
2014.0,2,East,173.79999999999998,18.2,18.2,18.2,50.0,33.0,1,26.609523809523807,8.828571428571427,23.7
2014.0,2,North,724.5,21.8,26.2,30.6,50.0,32.7,1,26.365714285714283,7.2942857142857145,22.4
2014.0,2,West,125.2,16.8,23.6,25.2,66.2,33.0,1,26.82857142857143,8.571428571428571,23.2
2014.0,3,Central,1.0,1.0,1.0,1.0,45.0,31.0,1,26.314285714285717,10.433333333333334,23.6
2014.0,3,East,0.6000000000000001,0.2,0.4,0.4,51.5,30.6,1,26.342857142857145,15.728571428571428,23.5
2014.0,3,North,1.0,0.2,0.2,0.2,48.2,30.8,1,26.122857142857143,12.1,21.1
2014.0,3,West,0.0,0.0,0.0,0.0,50.4,31.1,0,26.704761904761902,11.0,23.8
2014.0,4,Central,0.0,0.0,0.0,0.0,45.4,31.0,0,25.866666666666667,10.347619047619048,23.3
2014.0,4,East,0.0,0.0,0.0,0.0,47.9,30.5,0,25.83809523809524,15.071428571428571,22.7
2014.0,4,North,0.0,0.0,0.0,0.0,46.4,31.0,0,25.66,11.537142857142857,21.0
2014.0,4,West,0.0,0.0,0.0,0.0,46.8,31.0,0,26.271428571428572,11.252380952380953,23.4
2014.0,5,Central,0.0,0.0,0.0,0.0,44.6,34.3,0,26.323809523809523,10.095238095238095,23.0
2014.0,5,East,0.0,0.0,0.0,0.0,51.5,32.4,0,26.142857142857142,13.821428571428571,22.1
2014.0,5,North,0.0,0.0,0.0,0.0,53.6,33.3,0,26.080882352941178,11.8,20.1
2014.0,5,West,0.0,0.0,0.0,0.0,45.7,33.2,0,26.780952380952378,11.576190476190476,23.1
2014.0,6,Central,3.4,3.0,3.0,3.0,37.4,34.9,1,26.719047619047622,8.276190476190477,23.3
2014.0,6,East,36.300000000000004,5.8,6.0,6.0,41.4,33.4,1,26.580952380952382,10.067857142857141,21.1
2014.0,6,North,142.9,37.0,40.2,40.2,51.5,34.0,1,26.691428571428574,8.93,21.2
2014.0,6,West,0.0,0.0,0.0,0.0,41.0,32.4,0,27.066666666666666,9.657142857142858,23.7
2014.0,7,Central,0.6,0.6,0.6,0.6,39.6,34.2,1,27.704761904761902,9.128571428571428,24.6
2014.0,7,East,0.0,0.0,0.0,0.0,46.8,34.0,0,27.64761904761905,14.071428571428571,21.3
2014.0,7,North,142.4,33.2,59.0,60.0,44.3,35.3,1,27.594285714285714,10.68,20.8
2014.0,7,West,165.2,28.8,41.4,49.2,59.8,34.5,1,27.67142857142857,9.814285714285713,21.4
2014.0,8,Central,0.0,0.0,0.0,0.0,46.8,33.1,0,27.633333333333333,10.414285714285715,22.0
2014.0,8,East,0.0,0.0,0.0,0.0,53.6,33.0,0,27.614285714285714,15.275,24.2
2014.0,8,North,4.4,0.6,0.6,0.6,51.8,34.8,1,27.53676470588235,12.391428571428571,22.0
2014.0,8,West,0.2,0.2,0.2,0.2,52.2,34.2,1,28.052380952380954,10.361904761904762,24.9
2014.0,9,Central,0.0,0.0,0.0,0.0,41.0,34.1,0,27.47142857142857,9.976190476190476,24.1
2014.0,9,East,0.0,0.0,0.0,0.0,47.5,34.1,0,27.452380952380953,14.714285714285714,23.9
2014.0,9,North,0.0,0.0,0.0,0.0,48.2,35.3,0,27.440579710144927,11.371428571428572,22.1
2014.0,9,West,0.0,0.0,0.0,0.0,47.9,33.9,0,27.817391304347826,11.334782608695651,24.0
2014.0,10,Central,0.0,0.0,0.0,0.0,42.1,35.1,0,27.666666666666668,9.319047619047618,24.3
2014.0,10,East,0.0,0.0,0.0,0.0,42.1,34.0,0,27.61904761904762,12.714285714285714,23.8
2014.0,10,North,3.7,2.8,2.8,2.8,44.3,35.8,1,27.6472972972973,9.833783783783785,21.7
2014.0,10,West,0.0,0.0,0.0,0.0,55.1,33.4,0,27.857142857142858,13.417857142857143,24.2
2014.0,11,Central,111.0,24.4,33.2,43.0,75.2,34.8,1,27.9,9.314285714285713,23.7
2014.0,11,East,165.9,20.4,26.2,37.8,43.2,34.5,1,27.923809523809524,12.950000000000001,23.6
2014.0,11,North,309.4,14.4,16.0,22.6,44.3,36.3,1,27.846753246753245,10.042857142857143,23.0
2014.0,11,West,100.2,14.0,24.4,32.2,52.9,34.4,1,28.22142857142857,13.796428571428573,24.0
2014.0,12,Central,271.2,52.8,63.6,71.4,41.8,33.4,1,27.204761904761902,6.3047619047619055,23.6
2014.0,12,East,65.7,6.4,6.4,6.4,42.5,33.8,1,27.429411764705883,8.958333333333334,24.2
2014.0,12,North,921.6,36.2,41.2,44.2,50.0,34.3,1,26.727631578947367,6.873684210526315,22.2
2014.0,12,West,313.8,30.8,47.2,48.2,57.2,34.7,1,27.317857142857143,9.717857142857143,23.5
2014.0,13,Central,0.0,0.0,0.0,0.0,38.2,33.2,0,28.523809523809526,7.885714285714285,25.1
