year,week,date,region_n,avg_value
2016,22,2016-05-30,CENTRAL REGION,78.79184344204907
2016,23,2016-06-06,CENTRAL REGION,79.6765726133564
2016,24,2016-06-13,CENTRAL REGION,79.79864957041039
2016,25,2016-06-20,CENTRAL REGION,77.44986687973862
2016,26,2016-06-27,CENTRAL REGION,73.07541911455547
2016,27,2016-07-04,CENTRAL REGION,73.65564013529938
2016,28,2016-07-11,CENTRAL REGION,81.44396335448675
2016,29,2016-07-18,CENTRAL REGION,83.57167478934468
2016,30,2016-07-25,CENTRAL REGION,78.88024721130544
2016,31,2016-08-01,CENTRAL REGION,75.45286495717582
2016,32,2016-08-08,CENTRAL REGION,74.67869320739489
2016,33,2016-08-15,CENTRAL REGION,77.01003354988673
2016,34,2016-08-22,CENTRAL REGION,73.61159493084543
2016,35,2016-08-29,CENTRAL REGION,78.67100659381711
2016,36,2016-09-05,CENTRAL REGION,79.55670310147396
2016,37,2016-09-12,CENTRAL REGION,77.61976886744564
2016,38,2016-09-19,CENTRAL REGION,73.52015369899492
2016,39,2016-09-26,CENTRAL REGION,68.9873733816352
2016,40,2016-10-03,CENTRAL REGION,77.6649609557563
2016,41,2016-10-10,CENTRAL REGION,69.98808144178868
2016,42,2016-10-17,CENTRAL REGION,82.05402692553494
2016,43,2016-10-24,CENTRAL REGION,82.05402692553494
2016,44,2016-10-31,CENTRAL REGION,82.05402692553494
2016,45,2016-11-07,CENTRAL REGION,82.05402692553494
2016,46,2016-11-14,CENTRAL REGION,82.05402692553494
2016,47,2016-11-21,CENTRAL REGION,83.4383961259707
2016,48,2016-11-28,CENTRAL REGION,82.28045503453119
2016,49,2016-12-05,CENTRAL REGION,81.00191001902908
2016,50,2016-12-12,CENTRAL REGION,78.3594261031321
2016,51,2016-12-19,CENTRAL REGION,82.72496072974332
2016,52,2016-12-26,CENTRAL REGION,82.49719495004103
2017,52,2017-12-25,CENTRAL REGION,84.39746575435154
2017,1,2017-01-02,CENTRAL REGION,77.87306670650155
2017,2,2017-01-09,CENTRAL REGION,75.675638333583
2017,3,2017-01-16,CENTRAL REGION,78.88176908449152
2017,4,2017-01-23,CENTRAL REGION,82.7223693766776
2017,5,2017-01-30,CENTRAL REGION,78.10880065230516
2017,6,2017-02-06,CENTRAL REGION,73.89405412265702
2017,7,2017-02-13,CENTRAL REGION,75.4145278966384
2017,8,2017-02-20,CENTRAL REGION,82.13653278860758
2017,9,2017-02-27,CENTRAL REGION,84.58695050419283
2017,10,2017-03-06,CENTRAL REGION,77.79173764798567
2017,11,2017-03-13,CENTRAL REGION,78.37216176399022
2017,12,2017-03-20,CENTRAL REGION,79.21199662364606
2017,13,2017-03-27,CENTRAL REGION,84.66524916679093
2017,14,2017-04-03,CENTRAL REGION,79.37966899429665
2017,15,2017-04-10,CENTRAL REGION,84.6476586495181
2017,16,2017-04-17,CENTRAL REGION,83.89755122750242
2017,17,2017-04-24,CENTRAL REGION,84.79191908966136
2017,18,2017-05-01,CENTRAL REGION,81.73899559287207
2017,19,2017-05-08,CENTRAL REGION,83.929600164396
2017,20,2017-05-15,CENTRAL REGION,82.32327197477983
2017,21,2017-05-22,CENTRAL REGION,87.31254531380465
2017,22,2017-05-29,CENTRAL REGION,81.63092974065611
2017,23,2017-06-05,CENTRAL REGION,80.45047699885602
2017,24,2017-06-12,CENTRAL REGION,80.61073272462346
2017,25,2017-06-19,CENTRAL REGION,80.18129305650729
2017,26,2017-06-26,CENTRAL REGION,82.55331379741723
2017,27,2017-07-03,CENTRAL REGION,81.12777532625655
2017,28,2017-07-10,CENTRAL REGION,82.836107985139
2017,29,2017-07-17,CENTRAL REGION,77.58194011068319
2017,30,2017-07-24,CENTRAL REGION,78.21103965770229
2017,31,2017-07-31,CENTRAL REGION,75.27849642718058
2017,32,2017-08-07,CENTRAL REGION,83.10089860953556
2017,33,2017-08-14,CENTRAL REGION,80.87117564247212
2017,34,2017-08-21,CENTRAL REGION,79.71950525605777
2017,35,2017-08-28,CENTRAL REGION,75.95781224997542
2017,36,2017-09-04,CENTRAL REGION,79.0931478943553
2017,37,2017-09-11,CENTRAL REGION,77.59762058657381
2017,38,2017-09-18,CENTRAL REGION,78.02068729177934
2017,39,2017-09-25,CENTRAL REGION,79.2031804214244
2017,40,2017-10-02,CENTRAL REGION,81.14668072562013
2017,41,2017-10-09,CENTRAL REGION,76.67670086747232
2017,42,2017-10-16,CENTRAL REGION,70.26492852657906
2017,43,2017-10-23,CENTRAL REGION,75.89929719070791
2017,44,2017-10-30,CENTRAL REGION,82.5686975082362
2017,45,2017-11-06,CENTRAL REGION,86.97817957544652
2017,46,2017-11-13,CENTRAL REGION,83.96728247411112
2017,47,2017-11-20,CENTRAL REGION,86.6586145377653
2017,48,2017-11-27,CENTRAL REGION,79.99558719026311
2017,49,2017-12-04,CENTRAL REGION,80.1576778968548
2017,50,2017-12-11,CENTRAL REGION,81.97404219297049
2017,51,2017-12-18,CENTRAL REGION,76.40870820238852
2018,1,2018-01-01,CENTRAL REGION,87.43187267611269
2018,2,2018-01-08,CENTRAL REGION,90.2369845729275
2018,3,2018-01-15,CENTRAL REGION,81.04059021102988
2018,4,2018-01-22,CENTRAL REGION,83.36927711894293
2018,5,2018-01-29,CENTRAL REGION,79.98507855842686
2018,6,2018-02-05,CENTRAL REGION,68.7446998152582
2018,7,2018-02-12,CENTRAL REGION,75.18028476830163
2018,8,2018-02-19,CENTRAL REGION,77.77240980433005
2018,9,2018-02-26,CENTRAL REGION,80.36084730505948
2018,10,2018-03-05,CENTRAL REGION,79.05500727224506
2018,11,2018-03-12,CENTRAL REGION,76.00545718180724
2018,12,2018-03-19,CENTRAL REGION,75.94499854097249
2018,13,2018-03-26,CENTRAL REGION,82.00545510766406
2018,14,2018-04-02,CENTRAL REGION,76.38834032945662
2018,15,2018-04-09,CENTRAL REGION,76.72156130932989
2018,16,2018-04-16,CENTRAL REGION,82.30357763949674
2018,17,2018-04-23,CENTRAL REGION,79.21890276340629
2018,18,2018-04-30,CENTRAL REGION,81.46059121353117
2018,19,2018-05-07,CENTRAL REGION,76.03249286464509
2018,20,2018-05-14,CENTRAL REGION,83.08459702098801
2018,21,2018-05-21,CENTRAL REGION,81.55347585649737
2018,22,2018-05-28,CENTRAL REGION,82.76483029774623
2018,23,2018-06-04,CENTRAL REGION,79.01905437153279
2018,24,2018-06-11,CENTRAL REGION,79.7610364562956
2018,25,2018-06-18,CENTRAL REGION,83.77004690852584
2018,26,2018-06-25,CENTRAL REGION,83.93226048323805
2018,27,2018-07-02,CENTRAL REGION,80.177063928192
2018,28,2018-07-09,CENTRAL REGION,82.23933230926049
2018,29,2018-07-16,CENTRAL REGION,80.07968134511445
2018,30,2018-07-23,CENTRAL REGION,76.896979814233
2018,31,2018-07-30,CENTRAL REGION,81.37314132928438
2018,32,2018-08-06,CENTRAL REGION,79.16856463539808
2018,33,2018-08-13,CENTRAL REGION,76.19461797544524
2018,34,2018-08-20,CENTRAL REGION,77.51335071479699
2018,35,2018-08-27,CENTRAL REGION,78.35336814493104
2018,36,2018-09-03,CENTRAL REGION,82.18190619786171
2018,37,2018-09-10,CENTRAL REGION,75.88882787208786
2018,38,2018-09-17,CENTRAL REGION,79.03518075962187
2018,39,2018-09-24,CENTRAL REGION,76.93528080988263
2018,40,2018-10-01,CENTRAL REGION,76.27447560301742
2018,41,2018-10-08,CENTRAL REGION,86.85099106912867
2018,42,2018-10-15,CENTRAL REGION,77.80977738178905
2018,43,2018-10-22,CENTRAL REGION,79.05360985383115
2018,44,2018-10-29,CENTRAL REGION,83.44568432777626
2018,45,2018-11-05,CENTRAL REGION,82.78421791198343
2018,46,2018-11-12,CENTRAL REGION,83.42896876015911
2018,47,2018-11-19,CENTRAL REGION,81.20241167648359
2018,48,2018-11-26,CENTRAL REGION,83.16282833717317
2018,49,2018-12-03,CENTRAL REGION,85.03363973245425
2018,50,2018-12-10,CENTRAL REGION,85.28191335059657
2018,51,2018-12-17,CENTRAL REGION,78.95963691547163
2018,52,2018-12-24,CENTRAL REGION,75.03711176528415
2019,1,2018-12-31,CENTRAL REGION,74.42162642877587
2019,2,2019-01-07,CENTRAL REGION,75.7732983786698
