,year,week,cluster_sn,no_cases,latitude,longitude,point,pln_area_n,region_n,pln_total_cases,reg_total_cases,total_cases,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp,humidity,hdb_1_and_2_room_flats_hse,hdb_3_room_flats_hse,hdb_4_room_flats_hse,hdb_5_room_and_executive_flats_hse,condominiums_and_other_apartments_hse,landed_properties_hse,others_hse,total_hdb_hse,hdb_1_and_2_room_flats_pop,hdb_3_room_flats_pop,hdb_4_room_flats_pop,hdb_5_room_and_executive_flats_pop,condominiums_and_other_apartments_pop,landed_properties_pop,others_pop,total_hdb_pop,total_pop,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff,date
93,2013,24,9.0,26.0,1.31241942,103.8136315,POINT (103.8136315 1.31241942),TANGLIN,CENTRAL REGION,26.0,99.0,1039.0,1.6342857142857143,,,,91.8,33.6,1,29.854285714285716,7.408571428571429,23.6,83.20328466977637,0.0,9.6,24.799999999999997,88.4,5519.2,696.0,36.8,182.8,0.0,40.0,226.0,274.0,13220.0,4232.0,324.0,544.0,18316.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
99,2013,24,15.0,17.0,1.314726216666667,103.85536504166669,POINT (103.85536504166667 1.3147262166666667),KALLANG,CENTRAL REGION,30.0,99.0,1039.0,1.6342857142857143,,,,91.8,33.6,1,29.854285714285716,7.408571428571429,23.6,83.20328466977637,5992.0,10220.0,7804.8,4320.0,6890.8,403.2000000000001,458.8,28336.8,12464.0,28630.0,25014.0,15078.0,16052.0,1556.0,1762.0,81182.0,100550.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
101,2013,24,17.0,16.0,1.3127932666666666,103.87929751111112,POINT (103.87929751111112 1.3127932666666666),GEYLANG,CENTRAL REGION,20.0,99.0,1039.0,1.6342857142857143,,,,91.8,33.6,1,29.854285714285716,7.408571428571429,23.6,83.20328466977637,4425.2,11288.0,9723.2,4662.4,6195.2,1634.0,470.8,30254.0,10010.0,32322.0,33068.0,16880.0,16656.0,6772.0,2200.0,92830.0,118452.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
106,2013,24,22.0,11.0,1.293606866666667,103.81066836666668,POINT (103.81066836666668 1.2936068666666667),QUEENSTOWN,CENTRAL REGION,11.0,99.0,1039.0,1.6342857142857143,,,,91.8,33.6,1,29.854285714285716,7.408571428571429,23.6,83.20328466977637,3688.4,14686.8,7346.0,3919.6,4289.6,1062.0,113.2,29640.8,8762.0,36794.0,22838.0,13932.0,10816.0,3724.0,1368.0,82322.0,98230.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
110,2013,24,26.0,7.0,1.31636145,103.8737011,POINT (103.8737011 1.31636145),KALLANG,CENTRAL REGION,30.0,99.0,1039.0,1.6342857142857143,,,,91.8,33.6,1,29.854285714285716,7.408571428571429,23.6,83.20328466977637,5992.0,10220.0,7804.8,4320.0,6890.8,403.2000000000001,458.8,28336.8,12464.0,28630.0,25014.0,15078.0,16052.0,1556.0,1762.0,81182.0,100550.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
113,2013,24,29.0,6.0,1.325091,103.86298355,POINT (103.86298355 1.325091),KALLANG,CENTRAL REGION,30.0,99.0,1039.0,1.6342857142857143,,,,91.8,33.6,1,29.854285714285716,7.408571428571429,23.6,83.20328466977637,5992.0,10220.0,7804.8,4320.0,6890.8,403.2000000000001,458.8,28336.8,12464.0,28630.0,25014.0,15078.0,16052.0,1556.0,1762.0,81182.0,100550.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
114,2013,24,30.0,6.0,1.333126,103.8456153,POINT (103.8456153 1.333126),TOA PAYOH,CENTRAL REGION,6.0,99.0,1039.0,1.6342857142857143,,,,91.8,33.6,1,29.854285714285716,7.408571428571429,23.6,83.20328466977637,5021.6,15670.8,9972.4,6719.2,2503.2,1782.4,414.0,38350.8,11252.0,39772.0,31522.0,24314.0,7080.0,5842.0,1762.0,110144.0,124824.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
115,2013,24,31.0,6.0,1.2926652,103.8215023,POINT (103.8215023 1.2926652),BUKIT MERAH,CENTRAL REGION,6.0,99.0,1039.0,1.6342857142857143,,,,91.8,33.6,1,29.854285714285716,7.408571428571429,23.6,83.20328466977637,11727.6,16249.2,14494.8,9273.6,3243.6,124.0,257.6,51745.2,24898.0,42686.0,46280.0,31964.0,8116.0,496.0,1926.0,145822.0,156352.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
123,2013,24,39.0,4.0,1.334315,103.894666,POINT (103.894666 1.334315),GEYLANG,CENTRAL REGION,20.0,99.0,1039.0,1.6342857142857143,,,,91.8,33.6,1,29.854285714285716,7.408571428571429,23.6,83.20328466977637,4425.2,11288.0,9723.2,4662.4,6195.2,1634.0,470.8,30254.0,10010.0,32322.0,33068.0,16880.0,16656.0,6772.0,2200.0,92830.0,118452.0,42.0,39.0,14.0,2.0,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0,2013-06-16
156,2013,25,13.0,19.0,1.3144184785714284,103.85557270714284,POINT (103.85557270714285 1.3144184785714284),KALLANG,CENTRAL REGION,31.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,5992.0,10220.0,7804.8,4320.0,6890.8,403.2000000000001,458.8,28336.8,12464.0,28630.0,25014.0,15078.0,16052.0,1556.0,1762.0,81182.0,100550.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
